"Andorra","AD","AND","020","EUR",2017,76965,1.5,1.3,1.7,1,1,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.3,87,75,100
"Benin","BJ","BEN","204","AFR",2017,11175692,58,37,82,6400,4200,9200,15,14,17,8.8,5.6,13,980,630,1400,10,6,15,1100,680,1700,3.4,2.1,4.9,380,240,550,14,9.1,19,1500,1000,2100,0.25,0.13,0.38,32,55,39,85
"Botswana","BW","BWA","072","AFR",2017,2291661,300,232,376,6900,5300,8600,48,46,50,144,93,206,3300,2100,4700,19,12,27,440,290,620,33,23,44,750,530,1000,52,40,65,1200,920,1500,0.18,0.12,0.24,230,77,61,99
"Brazil","BR","BRA","076","AMR",2017,209288278,44,37,50,91000,78000,105000,12,11,13,5.3,4.5,6.3,11000,9300,13000,2.4,2.3,2.5,5100,4800,5300,0.91,0.67,1.2,1900,1400,2500,3.3,3.1,3.6,7000,6400,7600,0.08,0.06,0.09,38,87,75,100
"Cameroon","CM","CMR","120","AFR",2017,24053727,194,126,278,47000,30000,67000,31,28,34,60,38,86,14000,9200,21000,30,17,45,7100,4200,11000,25,16,36,6000,3800,8700,55,39,73,13000,9300,18000,0.29,0.16,0.44,102,52,37,81
"Central African Republic","CF","CAF","140","AFR",2017,4659080,423,274,604,20000,13000,28000,31,21,43,132,71,212,6200,3300,9900,68,39,106,3200,1800,4900,58,31,93,2700,1400,4300,126,84,176,5800,3900,8200,0.31,0.16,0.48,207,49,34,76
"Chad","TD","TCD","148","AFR",2017,14899994,154,100,220,23000,15000,33000,20,17,22,31,19,44,4600,2900,6600,28,16,42,4200,2400,6300,13,8.2,19,1900,1200,2800,41,28,56,6100,4200,8400,0.28,0.15,0.42,79,51,36,79
"China","CN","CHN","156","WPR",2017,1409517397,63,54,73,889000,761000,1030000,1.3,0.72,2,0.81,0.44,1.3,11000,6200,18000,2.6,2.4,2.9,37000,33000,41000,0.12,0.06,0.21,1800,820,3000,2.7,2.5,3,39000,35000,43000,0.04,0.04,0.05,55,87,75,100
"Congo","CG","COG","178","AFR",2017,5260750,376,239,545,20000,13000,29000,26,17,37,99,51,162,5200,2700,8500,63,36,98,3300,1900,5200,43,22,70,2200,1200,3700,106,70,149,5600,3700,7800,0.29,0.15,0.46,190,51,35,80
"Czechia","CZ","CZE","203","EUR",2017,10618303,5.4,4.6,6.2,570,490,660,1.4,0.81,2.3,0.08,0.05,0.11,8,5,12,0.4,0.4,0.4,43,42,43,0.01,0.01,0.02,1,1,2,0.41,0.41,0.42,44,43,45,0.08,0.07,0.09,4.7,87,75,100
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,81339988,322,208,460,262000,169000,374000,7.6,4.3,12,24,16,35,20000,13000,28000,60,35,90,49000,29000,74000,9.1,4.2,16,7400,3500,13000,69,43,100,56000,35000,81000,0.22,0.11,0.35,185,57,40,89
"Denmark","DK","DNK","208","EUR",2017,5733551,5.1,4.3,5.9,290,250,340,3,2.4,3.6,0.15,0.12,0.19,9,7,11,0.31,0.29,0.32,18,17,18,0.02,0.01,0.03,1,1,2,0.33,0.31,0.35,19,18,20,0.07,0.06,0.08,4.4,87,75,100
"Ethiopia","ET","ETH","231","AFR",2017,104957438,164,115,221,172000,121000,232000,7.2,6.6,7.8,12,8.2,16,12000,8600,17000,24,15,35,25000,16000,37000,3.5,2.4,4.8,3600,2500,5000,28,19,38,29000,19000,40000,0.17,0.1,0.26,111,68,50,96
"Germany","DE","DEU","276","EUR",2017,82114224,7.5,6.4,8.7,6200,5300,7100,5.7,3.3,8.7,0.43,0.24,0.67,350,200,550,0.39,0.39,0.4,320,320,330,0.07,0.03,0.11,54,26,92,0.46,0.42,0.5,380,340,410,0.06,0.05,0.07,6.5,87,75,100
"Ghana","GH","GHA","288","AFR",2017,28833629,152,73,258,44000,21000,74000,22,19,25,33,16,56,9500,4500,16000,36,16,63,10000,4600,18000,18,8.5,31,5200,2500,9000,54,31,83,16000,8900,24000,0.39,0.14,0.68,49,32,19,67
"Guatemala","GT","GTM","320","AMR",2017,16913503,25,19,32,4300,3300,5400,7.6,7.2,7.9,1.9,1.5,2.4,330,250,410,1.8,1.7,1.9,300,290,320,0.41,0.29,0.54,69,50,91,2.2,2,2.4,370,340,400,0.09,0.07,0.11,20,80,63,100
"Guinea-Bissau","GW","GNB","624","AFR",2017,1861283,374,242,534,7000,4500,9900,32,27,37,119,75,174,2200,1400,3200,77,44,118,1400,830,2200,66,40,99,1200,750,1800,143,100,194,2700,1900,3600,0.4,0.21,0.6,120,32,22,49
"India","IN","IND","356","SEA",2017,1339180127,204,140,281,2740000,1870000,3770000,3.1,2.8,3.5,6.4,4.3,9,86000,57000,120000,31,28,33,410000,381000,441000,0.79,0.48,1.2,11000,6500,16000,31,29,34,421000,391000,452000,0.16,0.11,0.22,133,65,47,96
"Indonesia","ID","IDN","360","SEA",2017,263991379,319,291,348,842000,767000,919000,4.3,2.4,6.6,14,7.6,21,36000,20000,56000,40,38,43,107000,100000,114000,3.5,1.9,5.7,9300,4900,15000,44,41,47,116000,108000,125000,0.14,0.12,0.15,167,53,48,58
"Ireland","IE","IRL","372","EUR",2017,4761657,7.3,6.2,8.4,350,300,400,7.5,4.4,11,0.55,0.35,0.78,26,17,37,0.51,0.51,0.52,24,24,25,0.09,0.05,0.15,4,2,7,0.61,0.56,0.66,29,27,31,0.08,0.07,0.1,6.3,87,75,100
"Israel","IL","ISR","376","EUR",2017,8321570,3.2,2.8,3.7,270,230,310,5.1,5,5.3,0.17,0.11,0.24,14,9,20,0.18,0.18,0.19,15,15,16,0.03,0.02,0.04,2,2,3,0.21,0.2,0.22,18,17,18,0.07,0.06,0.08,2.8,87,75,100
"Kenya","KE","KEN","404","AFR",2017,49699862,319,195,472,158000,97000,235000,29,26,32,91,55,137,45000,27000,68000,50,28,78,25000,14000,39000,37,22,55,18000,11000,27000,86,59,119,43000,29000,59000,0.28,0.15,0.45,168,53,36,86
